ts;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U;T;U
00:00;20.3;77;19.8;75;19.2;78;20.1;75;19;74;19;73;19.8;75;19.9;85;21.7;75;;;22.2;73;22.5;74;;;23.6;75;25.2;64;24.1;65;22.7;77;24.4;74;22.9;81;;;19.9;74;19.7;73;18.8;70;19.7;68;19;73;19.4;72;20.3;73;23.3;73;19.7;92;21.3;76;21.4;78
01:00;21.3;82;20.4;76;19.6;74;18.8;79;19.8;74;18.3;77;18.6;75;19.4;77;19.6;86;21.2;76;21.2;75;21.5;74;21.5;78;22.4;80;23.3;76;24.6;67;23.5;69;22.5;78;23.9;77;22.1;84;21.6;90;19.6;76;19.2;75;18.3;71;19.1;71;18.5;74;19;73;19.9;75;22.8;76;19.7;91;20.9;78
02:00;20.7;81;20.6;76;19.4;75;18.6;81;19.5;74;17.6;81;18.1;78;19;78;19.4;87;20.8;77;20.7;76;21.1;75;20.5;82;21.9;80;23;74;23.3;73;22.6;75;22;81;24.2;79;21.2;87;21.4;89;19.1;79;18.9;77;18;73;18.8;74;18.1;73;18.6;74;19.6;77;21.6;84;19.5;91;20.5;80
03:00;20.2;81;20.3;79;19;78;18.3;83;19;76;17;83;17.9;79;18.6;78;19.2;86;20.3;79;20.1;79;20.9;77;19.7;84;21.6;80;22.6;74;23.5;68;22.6;77;21.6;83;23.6;82;20.6;90;21;90;18.9;80;18.9;78;18.1;73;18.3;77;17.8;71;18.3;74;19.6;78;21.3;87;19.2;91;19.9;84
04:00;20.1;80;19.5;83;18.7;82;18.3;84;18.2;79;16.9;85;17.8;77;18.5;79;18.8;87;19.9;81;19.6;81;20.2;79;19.2;86;21.2;81;22;78;22.7;72;21.3;88;21;85;23.5;83;20.3;91;20.9;91;18.6;81;18.8;78;18.2;72;17.8;78;17.5;68;17.9;75;19.5;79;21.1;89;19;91;19.7;85
05:00;19.7;81;19.1;86;18.6;83;18.6;82;17.7;83;16.8;85;17.4;79;18.1;81;18.4;88;19.7;83;19.5;83;19.4;83;19;87;20.8;83;21.3;81;22.4;74;20.7;91;20.7;87;22.7;84;20.5;93;20.8;91;18.3;82;18.8;72;17.5;74;17.3;81;17.1;68;17.4;78;19;81;21.1;89;18.9;92;19;87
06:00;19.5;81;18.8;85;18.4;85;18.2;82;17.5;84;16.6;85;17.1;81;17.5;84;18;89;19.4;84;19.4;83;19;86;18.7;88;20.6;85;20.9;83;22.6;74;20.2;93;20.4;88;22.1;86;20.8;93;20.5;89;18.3;83;18.8;72;16.9;78;17;82;16.5;72;17.1;80;18.6;84;21.2;89;18.7;93;18.4;88
07:00;19.6;81;18.9;84;18.4;86;18;84;17.6;85;16.8;84;17.3;80;17.4;86;18.1;89;19.6;85;19.5;84;19.2;87;18.7;88;20.7;84;21;83;22.9;72;20.5;94;20.5;89;22.3;87;20.7;94;20.5;89;18.5;81;18.3;75;17;78;16.9;83;16.2;75;17.1;82;18.4;85;20.9;88;18.8;93;18.7;88
08:00;20;81;20.5;77;19.5;82;19.8;77;19.3;79;18.6;76;19.2;74;18.1;84;19.7;83;21.4;78;21.2;78;21;81;20.4;84;22.4;79;23.2;75;24;69;21.2;94;22.2;83;23;87;21;94;20.7;89;20.2;73;19.7;71;19.2;70;18.6;77;18.9;68;18.8;76;19.5;83;21.9;87;19.3;94;20.3;86
09:00;21.4;75;22.3;70;20.7;76;21.4;70;21.4;67;20.5;68;21.4;66;21.6;75;22.3;71;23.9;68;24;67;24.3;69;23.9;70;25;68;27.4;61;25.8;65;21.8;93;25.6;70;24.1;83;21.2;94;21.4;86;22.2;64;21.7;63;21.8;59;21.4;64;21.6;60;22;63;22.2;72;23.2;82;21.5;94;23.2;75
10:00;23.3;67;24.1;61;21.9;72;23.1;64;23.5;54;22.3;60;23.7;58;26.6;54;25.7;59;27;54;27.1;52;27.7;56;26.9;59;27.7;56;28.8;54;28.3;54;22.9;84;28.2;58;26.1;74;22.5;95;22.6;80;24;57;23.8;54;23.5;54;24.3;50;23.9;54;24.6;50;26.3;53;22.8;79;24.4;84;25.8;65
11:00;24.1;64;25;58;24;62;24.6;61;25;50;23.9;55;26.1;51;27.4;50;27.2;50;28.3;49;29;46;30;47;28.5;52;29.6;50;30.1;51;29.2;52;25.8;69;29.9;54;27.5;69;23.8;92;23.4;74;25.4;53;25.2;46;24.8;50;26;44;25.9;47;26.2;47;28;48;22.7;81;27.2;63;27.9;58
12:00;25.1;61;26.2;53;24.6;61;26.5;56;26.2;45;25;51;27.7;47;27.9;48;28.8;47;29.6;45;30.2;44;30.7;45;29.9;47;30.9;44;31.2;48;30.9;48;28.4;56;30.7;51;27;68;24.8;78;23.4;73;26;51;26.5;41;26.3;45;27.5;38;27.7;40;27.8;40;29.1;45;22.7;84;28;58;29.1;55
13:00;25.6;59;27.3;49;25.8;56;28.2;50;27.6;41;26.4;46;28.8;44;28.5;47;29.3;47;31.1;42;29.9;45;31.3;43;31.3;43;32.1;39;31.7;45;32.1;45;29.3;53;31.9;45;26.3;71;26;71;23.7;71;27.1;48;27.4;39;27;44;27.4;34;28.3;33;28;38;30;42;24.3;82;28.3;55;30;51
14:00;25.7;60;27.6;48;25.9;56;28.5;48;28.4;41;27.2;41;29.7;39;29.8;44;29.5;45;32.4;39;31.3;41;32.6;37;31.8;41;33.6;32;33.6;40;32.7;44;30.4;50;32.5;43;27.8;65;27.6;65;24.3;66;27.8;42;27.9;37;27.5;40;27.3;33;29.4;30;29.1;33;30.7;40;26.9;67;29.1;51;30.2;50
15:00;25.7;60;27.6;49;27;52;29.1;47;27.9;42;27.7;38;30.6;36;25.4;56;30.7;40;32.6;36;32.6;38;33.3;35;32.9;35;33.5;33;33.7;39;32.7;43;30.5;50;33.3;39;30.3;52;28.5;61;24.9;61;28.2;38;28.3;35;27.6;38;28.3;31;30.1;28;29.1;34;31.3;36;27.5;61;30.7;47;30.3;49
16:00;25.4;60;27.5;49;27.4;50;29.7;43;27.4;43;27.9;37;31;35;17.3;86;31.3;38;31.2;39;31.9;37;33.3;34;32.8;33;31.7;37;34;38;33.1;40;29.6;53;33;40;31.6;46;28.7;60;25.6;57;28.2;38;28.3;36;27.7;36;28.7;29;30.3;27;27.8;36;31.6;36;27.2;62;29.5;49;31.3;45
17:00;24.5;62;26;58;26.1;57;29.5;43;26.9;44;27.8;38;28.5;39;18.4;89;30.6;38;31.1;38;32.3;36;32.3;35;32.5;33;32.1;36;32.2;43;32.6;41;30.4;50;32.3;41;31.2;46;26.9;65;25;59;27.8;39;27;38;27.4;34;27.6;32;28.9;28;28.1;36;29.6;40;25.2;73;27.9;55;30.4;47
18:00;23.7;65;23.8;65;24.9;62;28.7;43;26.1;47;25.9;45;28.4;39;19;90;29.6;41;30.7;39;30.9;39;30.9;37;31;37;31.6;37;31.4;47;31.1;44;29.2;53;30.2;48;29.6;49;23;83;24.3;62;25.7;49;25.5;45;25.7;46;26.3;38;27.4;32;27.8;36;28.6;44;24.3;78;27.7;55;28.9;50
19:00;22.5;71;22.6;69;23.4;67;26.6;51;24.1;57;24.1;49;25.8;53;20;89;27.4;51;29;44;28.9;49;29.2;44;29;44;29.8;43;29.9;51;29.8;46;27.6;61;28.8;55;28.3;55;22.7;87;23.2;64;23.9;57;23.3;52;24;53;24.7;47;26;39;26.3;41;26.6;56;23.1;83;26.9;57;27.4;56
20:00;21.6;74;21.8;73;21.6;72;23.9;64;21.9;67;22.6;52;23.2;64;20;88;25.2;61;25.9;64;26.9;60;27.4;54;27.1;56;27.8;57;28.5;53;28.6;53;25.2;72;27.2;65;27.1;64;22.4;89;22.1;68;22.4;60;21.9;59;22.7;57;22.9;53;23.3;60;23.7;61;25.4;66;19.8;90;24.7;69;25.7;66
21:00;21.4;74;21;74;20.4;75;22.5;69;20.8;69;21.5;57;21.8;68;19.9;86;23.9;70;24.1;69;25.1;68;25.7;65;24.7;72;26.3;68;27.4;58;25.6;62;24;75;26;70;26.3;69;22.3;90;21.5;69;21.3;63;21;63;21.7;61;21.7;60;21.9;66;22.3;68;24.6;70;19.1;93;23.6;71;24.4;71
22:00;20.9;74;20.2;74;19.8;76;21.5;73;20;71;20.5;65;20.9;72;19.9;85;22.9;71;23.1;71;23.7;71;24.4;71;23.6;76;25.1;72;26.6;60;24.9;63;23.5;75;25.2;71;24.1;73;22;91;21;70;20.6;69;20;66;20.7;69;20.6;67;21.1;67;21.4;71;24.1;71;19.2;93;22.7;73;23.1;74
23:00;20.5;76;20;74;19.5;76;20.7;74;19.4;71;19.6;69;20.2;73;20;85;22.2;73;22.5;71;22.8;72;23.2;73;23.2;78;24.1;75;25.7;63;24.7;61;23;75;24.8;72;22.9;80;22.3;92;20.4;72;20.2;72;19.4;68;20;71;19.8;69;20.2;70;20.8;72;23.7;71;19.6;93;22;74;22.3;74
